ref_fa	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/GRCh38_no_alt_analysis_set_GCA_000001405.15.chr19_chrM.fasta
bowtie2_idx_tar	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/bowtie2_index/GRCh38_no_alt_analysis_set_GCA_000001405.15.chr19_chrM.fasta.tar
bwa_idx_tar	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/bwa_index/GRCh38_no_alt_analysis_set_GCA_000001405.15.chr19_chrM.fasta.tar
chrsz	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/hg38_chr19_chrM.chrom.sizes
blacklist	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/hg38.blacklist.bed.gz
gensz	hs
tss_enrich	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/ataqc/null
dnase	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/ataqc/null
prom	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/ataqc/null
enh	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/ataqc/null
reg2map	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/ataqc/null
reg2map_bed	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/ataqc/null
roadmap_meta	/ifs/scratch/leepc12/pipeline_genome_data/hg38_chr19_chrM/ataqc/null
